ID_COULEUR;REF_COULEUR;LIBELLE_COULEUR
3;Y2;
4;P22A;
5;4B;
6;10;
7;101;
8;102;
9;103;
10;105;
11;106;
12;107;
13;109;
14;11;
15;110;
16;111;
17;112;
18;13;
19;15;
20;153;
21;16;
22;17;
23;18;
24;19;
25;2;
26;201;
27;21;
28;22;
29;24K;
30;26;
31;306;
32;307;
33;320;
34;33A;
35;33B;
36;35;
37;360;
38;38;
39;39;
40;4;
41;40;
42;42;
43;5;
44;53;
45;56;
46;59;
47;60;
48;61;
49;6A;
50;7F;
51;8;
52;B7;
53;88;
54;9;
55;B1;
56;B10;
57;B2A;
58;B2B B;
59;B3A;
60;B4;
61;B5;
62;B6;
63;B8;
64;C1;
65;C12;
66;C2;
67;C5;
68;C6;
69;C7;
70;C7F;
71;C8;
72;D1;
73;D2;
74;D3;
75;E1;
76;E2;
77;E4;
78;E5;
79;E8;
80;F1;
81;F2;
82;142;
83;117;
84;602;
85;J1;
86;J2;
87;ME13;
88;ME40;
89;N35;
90;NWB;
91;P12;
92;P1;
93;P10;
94;P11;
95;P12;
96;P13;
97;P14A;
98;P15;
99;P16;
100;P17;
101;P18;
102;P2;
103;P21;
104;P22;
105;P22B;
106;P23;
107;P24A;
108;P24B;
109;P25;
110;P27;
111;P28;
112;P29;
113;P30A;
114;P30B;
115;16A;
116;13F;
117;P3;
118;P4;
119;P6;
120;P7A;
121;P7B;
122;P8;
123;P9;
124;RA03;
125;RAO2;
126;RAV2;
127;RED B;
128;RED C;
129;RED D;
130;X;
131;Y1;
132;Y10;
133;Y11;
134;Y12;
135;Y13;
136;Y14;
137;Y15;
138;Y16;
139;Y3;
140;Y4;
141;Y5;
142;Y6;
143;Y6A;
144;Y7;
145;Y8;
146;Y9;
147;P14B;
148;B2B A;
150;nico;
151;1p;
152;2p;
153;3p;
154;4p;
155;5p;
156;6p;
157;7p;
158;8p;
159;9p;
160;10p;
161;11p;
162;12p;
163;13p;
164;14p;
165;15p;
166;16p;
167;17p;
168;18p;
169;19p;
170;20p;
171;21p;
172;22p;
173;23p;
174;24p;
175;25p;
176;26p;
177;27p;
178;28p;
179;29p;
180;30p;
181;31p;
182;32p;
183;33p;
184;34p;
185;35p;
186;36p;
187;37p;
188;38p;
189;39p;
190;40p;
191;41p;
192;42p;
193;43p;
194;44p;
195;45p;
196;46p;
197;47p;
198;48p;
199;49p;
200;50p;
201;51p;
202;52p;
203;53p;
204;54p;
205;55p;
206;56p;
207;57p;
208;58p;
209;59p;
210;60p;
211;61p;
212;62p;
213;63p;
214;64p;
215;65p;
216;66p;
217;67p;
218;68p;
219;69p;
220;70p;
221;71p;
222;72p;
223;NA01;
224;NA02;
225;NA03;
226;NA04;
227;NA05;
228;NA06;
229;NA07;
230;NA08;
231;NA09;
232;NA10;
233;NA11;
234;73p;
235;74p;
236;75p;
237;76p;
238;77p;
239;78p;
240;79p;
241;80p;
242;81p;
243;82p;
244;83p;
245;84p;
246;85p;
247;86p;
248;87p;
249;88p;
250;89p;
251;90p;
252;RAO3;
253;H01;
254;H02;
255;H03;
256;H04;
257;H05;
258;H06;
259;H07;
260;H08;
261;H09;
262;H10;
263;H11;
264;H12;
265;H13;
266;H14;
267;H15;
268;H16;
269;H17;
270;H18;
271;H19;
272;H20;
273;H21;
274;H22;
275;H23;
276;H24;
277;H25;
278;GREY1;
279;ARG1;
280;13F';
281;18';
282;307';
283;P17-3920 Tpx;
284;P13-0650 Tpx;
285;C8';
286;P14B';
287;ARS300;
288;91p;
289;92p;
290;93p;
291;94p;
292;95p;
293;96p;
294;ARG2;
295;GREY2;
296;97p;
297;98p;
298;99p;
299;Y3B;
300;ARS 001;
301;ARS 002;
302;ARS 003;
303;ARS 004;
304;ARS 005;
305;ARS 006;
306;ARS 007;
307;ARS 008;
308;ARS 009;
309;ARS 010;
310;ARS 011;
311;ARS 012;
312;ARS 013;
313;ARS 014;
314;ARS 015;
315;ARS 016;
316;ARS 017;
317;ARS 018;
318;ARS 019;
319;ARS 020;
320;ARS 021;
321;ARS 022;
322;ARS 023;
323;ARS 024;
324;ARS 025;
325;ARS 026;
326;ARS 027;
327;ARS 028;
328;ARS 029;
329;ARS 030;
330;ARS 031;
331;ARS 032;
332;ARS 033;
333;ARS 034;
334;ARS 035;
335;ARS 036;
336;ARS 037;
337;ARS 038;
338;ARS 039;
339;ARS 040;
340;ARS 041;
341;ARS 042;
342;ARS 043;
343;ARS 044;
344;ARS 045;
345;ARS 046;
346;ARS 047;
347;ARS 048;
348;ARS 049;
349;ARS 050;
350;ARS 051;
351;ARS 052;
352;ARS 053;
353;ARS 054;
354;ARS 055;
355;ARS 056;
356;ARS 057;
357;ARS 058;
358;ARS 059;
359;ARS 060;
360;ARS 061;
361;ARS 062;
362;ARS 063;
363;ARS 064;
364;ARS 065;
365;ARS 066;
366;ARS 067;
367;ARS 068;
368;ARS 069;
369;ARS 070;
370;ARS 071;
371;ARS 072;
372;ARS 073;
373;ARS 074;
374;ARS 075;
375;ARS 076;
376;ARS 077;
377;ARS 078;
378;ARS 079;
379;ARS 080;
380;ARS 081;
381;ARS 082;
382;ARS 083;
383;ARS 084;
384;ARS 085;
385;ARS 086;
386;ARS 087;
387;ARS 088;
388;ARS 089;
389;ARS 090;
390;ARS 091;
391;ARS 092;
392;ARS 093;
393;ARS 094;
394;ARS 095;
395;ARS 096;
396;ARS 097;
397;ARS 098;
398;ARS 099;
399;ARS 100;
400;ARS 101;
401;ARS 102;
402;ARS 103;
403;ARS 104;
404;ARS 105;
405;ARS 106;
406;ARS 107;
407;ARS 108;
408;ARS 109;
409;ARS 110;
410;ARS 111;
411;ARS 112;
412;ARS 113;
413;ARS 114;
414;ARS 115;
415;ARS 116;
416;ARS 117;
417;ARS 118;
418;ARS 119;
419;ARS 120;
420;ARS 121;
421;ARS 122;
422;ARS 123;
423;ARS 124;
424;ARS 125;
425;ARS 126;
426;ARS 127;
427;ARS 128;
428;ARS 129;
429;ARS 130;
430;ARS 131;
431;ARS 132;
432;ARS 133;
433;ARS 134;
434;ARS 135;
435;ARS 136;
436;ARS 137;
437;ARS 138;
438;ARS 139;
439;ARS 140;
440;ARS 141;
441;ARS 142;
442;ARS 143;
443;ARS 144;
444;ARS 145;
445;ARS 146;
446;ARS 147;
447;ARS 148;
448;ARS 149;
449;ARS 150;
450;ARS 151;
451;ARS 152;
452;ARS 153;
453;ARS 154;
454;ARS 155;
455;ARS 156;
456;ARS 157;
457;ARS 158;
458;ARS 159;
459;ARS 160;
460;ARS 161;
461;ARS 162;
462;ARS 163;
463;ARS 164;
464;ARS 165;
465;ARS 166;
466;ARS 167;
467;ARS 168;
468;ARS 169;
469;ARS 170;
470;ARS 171;
471;ARS 172;
472;ARS 173;
473;ARS 174;
474;ARS 175;
475;ARS 176;
476;ARS 177;
477;ARS 178;
478;ARS 179;
479;ARS 180;
480;ARS 181;
481;ARS 182;
482;ARS 183;
483;ARS 184;
484;ARS 185;
485;ARS 186;
486;ARS 187;
487;ARS 188;
488;ARS 189;
489;ARS 190;
490;ARS 191;
491;ARS 192;
492;ARS 193;
493;ARS 194;
494;ARS 195;
495;ARS 196;
496;ARS 197;
497;ARS 198;
498;ARS 199;
499;ARS 200;
500;ARS 201;
501;ARS 202;
502;ARS 203;
503;ARS 204;
504;ARS 205;
505;ARS 206;
506;ARS 207;
507;ARS 208;
508;ARS 209;
509;ARS 210;
510;ARS 211;
511;ARS 212;
512;ARS 213;
513;ARS 214;
514;ARS 215;
515;ARS 216;
516;ARS 217;
517;ARS 218;
518;ARS 219;
519;ARS 220;
520;ARS 221;
521;ARS 222;
522;ARS 223;
523;ARS 224;
524;ARS 225;
525;ARS 226;
526;ARS 227;
527;ARS 228;
528;ARS 229;
529;ARS 230;
530;ARS 231;
531;ARS 232;
532;ARS 233;
533;ARS 234;
534;ARS 235;
535;ARS 236;
536;ARS 237;
537;ARS 238;
538;ARS 239;
539;ARS 240;
540;ARS 241;
541;ARS 242;
542;ARS 243;
543;ARS 244;
544;ARS 245;
545;ARS 246;
546;ARS 247;
547;ARS 248;
548;ARS 249;
549;ARS 250;
550;ARS 251;
551;ARS 252;
552;ARS 253;
553;ARS 254;
554;ARS 255;
555;ARS 256;
556;ARS 257;
557;ARS 258;
558;ARS 259;
559;ARS 260;
560;ARS 261;
561;ARS 262;
562;ARS 263;
563;ARS 264;
564;ARS 265;
565;ARS 266;
566;ARS 267;
567;ARS 268;
568;ARS 269;
569;ARS 270;
570;ARS 271;
571;ARS 272;
572;ARS 274;
573;ARS 275;
574;ARS 276;
575;ARS 277;
576;ARS 278;
577;ARS 279;
578;ARS 280;
579;ARS 281;
580;ARS 282;
581;ARS 283;
582;ARS 284;
583;ARS 285;
584;ARS 286;
585;ARS 287;
586;ARS 288;
587;ARS 289;
588;ARS 290;
589;ARS 291;
590;ARS 292;
591;ARS 293;
592;ARS 294;
593;ARS 295;
594;ARS 296;
595;ARS 297;
596;ARS 298;
597;ARS 299;
598;ARS 300;
599;ARS 301;
600;ARS 302;
601;ARS 303;
602;ARS 304;
603;ARS 305;
604;ARS 306;
605;ARS 307;
606;ARS 308;
607;ARS 309;
608;ARS 310;
609;ARS 311;
610;ARS 312;
611;ARS 313;
612;ARS 314;
613;ARS 315;
614;ARS 316;
615;ARS 316;
616;ARS 317;
617;ARS 318;
618;ARS 319;
619;ARS 320;
620;ARS 321;
621;ARS 322;
622;ARS 323;
623;ARS 324;
624;ARS 325;
625;ARS 326;
626;ARS 327;
627;ARS 328;
628;ARS 329;
629;ARS 330;
630;ARS 331;
631;ARS 332;
632;ARS 333;
633;ARS 334;
634;ARS 335;
635;ARS 336;
636;ARS 337;
637;ARS 338;
638;ARS 339;
639;ARS 340;
640;ARS 341;
641;ARS 342;
642;ARS 343;
643;ARS 344;
644;ARS 345;
645;ARS 346;
646;ARS 347;
647;ARS 348;
648;ARS 349;
650;ARS 350;
651;ARS 351;
652;ARS 352;
653;ARS 353;
654;ARS 354;
655;ARS 355;
656;ARS 356;
657;ARS 357;
658;ARS 358;
659;ARS 359;
660;ARS 360;
661;ARS 361;
662;ARS 362;
663;ARS 363;
664;ARS 364;
665;ARS 365;
666;ARS 366;
667;ARS 367;
668;ARS 368;
669;ARS 369;
670;ARS 370;
671;ARS 371;
672;ARS 372;
673;ARS 373;
674;ARS 374;
675;ARS 375;
676;ARS 376;
677;ARS 377;
678;ARS 378;
679;ARS 379;
680;ARS 380;
681;ARS 381;
682;ARS 382;
683;ARS 383;
684;ARS 384;
685;ARS 385;
686;ARS 386;
687;ARS 387;
688;ARS 388;
689;ARS 389;
690;ARS 390;
691;ARS 391;
692;ARS 392;
693;ARS 393;
694;ARS 394;
695;ARS 395;
696;ARS 396;
697;ARS 397;
698;ARS 398;
699;ARS 399;
700;ARS 400;
701;ARS 401;
702;ARS 402;
703;ARS 403;
704;ARS 404;
705;ARS 405;
706;ARS 406;
707;ARS 407;
708;ARS 408;
709;ARS 409;
710;ARS 410;
711;ARS 411;
712;ARS 412;
713;ARS 413;
714;ARS 414;
715;ARS 415;
716;ARS 416;
717;ARS 417;
718;ARS 418;
719;ARS 419;
720;ARS 420;
721;ARS 421;
722;ARS 422;
723;ARS 423;
724;ARS 424;
725;ARS 425;
726;ARS 426;
727;ARS 427;
728;ARS 428;
729;ARS 429;
730;ARS 430;
731;ARS 431;
732;ARS 432;
733;ARS 433;
734;ARS 434;
735;ARS 435;
736;ARS 436;
737;ARS 437;
738;ARS 438;
739;ARS 439;
740;ARS 440;
741;ARS 441;
742;ARS 442;
743;ARS 443;
744;ARS 444;
745;ARS 445;
746;ARS 446;
747;ARS 447;
748;ARS 448;
749;ARS 449;
750;ARS 450;
751;ARS 451;
752;ARS 452;
753;ARS 453;
754;ARS 454;
755;ARS 455;
756;ARS 456;
757;ARS 457;
758;ARS 458;
759;ARS 459;
760;ARS 460;
761;ARS 461;
762;ARS 462;
763;ARS 463;
764;ARS 464;
765;ARS 465;
766;ARS 466;
767;ARS 467;
768;ARS 468;
769;ARS 469;
770;ARS 470;
771;ARS 471;
772;ARS 472;
773;ARS 473;
774;ARS 474;
775;ARS 475;
776;ARS 476;
777;ARS 477;
778;ARS 478;
779;ARS 479;
780;ARS 480;
781;ARS 481;
782;ARS 482;
783;ARS 483;
784;ARS 484;
785;ARS 485;
786;ARS 486;
787;ARS 487;
788;ARS 488;
789;ARS 489;
790;ARS 490;
791;ARS 491;
792;ARS 492;
793;ARS 493;
794;ARS 494;
795;ARS 495;
796;ARS 496;
797;ARS 497;
798;ARS 498;
799;ARS 499;
800;ARS 500;
801;ARS 501;
802;ARS 502;
803;ARS 503;
804;ARS 504;
805;ARS 505;
806;ARS 506;
807;ARS 507;
808;ARS 508;
809;ARS 509;
810;ARS 510;
811;ARS 511;
812;ARS 512;
813;ARS 513;
814;ARS 514;
815;ARS 515;
816;ARS 516;
817;ARS 517;
818;ARS 518;
819;ARS 519;
820;ARS 520;
821;ARS 521;
822;ARS 522;
823;ARS 523;
824;ARS 524;
825;ARS 525;
826;ARS 526;
827;ARS 527;
828;ARS 528;
829;ARS 529;
830;ARS 530;
831;ARS 531;
832;ARS 532;
833;ARS 533;
834;ARS 534;
835;ARS 535;
836;ARS 536;
837;ARS 537;
838;ARS 538;
839;ARS 539;
840;ARS 540;
841;ARS 541;
842;ARS 542;
843;ARS 543;
844;ARS 544;
845;ARS 545;
846;ARS 546;
847;ARS 547;
848;ARS 548;
849;ARS 549;
850;ARS 550;
851;ARS 551;
852;ARS 552;
853;ARS 553;
854;ARS 554;
855;ARS 555;
856;ARS 556;
857;ARS 557;
858;ARS 558;
859;ARS 559;
860;ARS 560;
861;ARS 561;
862;ARS 562;
863;ARS 563;
864;ARS 564;
865;ARS 565;
866;ARS 566;
867;ARS 567;
868;ARS 568;
869;ARS 569;
870;ARS 570;
871;ARS 571;
872;ARS 572;
873;ARS 573;
874;ARS 574;
875;ARS 575;
876;ARS 576;
877;ARS 577;
878;ARS 578;
879;ARS 579;
880;ARS 580;
881;ARS 581;
882;ARS 582;
883;ARS 583;
884;ARS 584;
885;ARS 585;
886;ARS 586;
887;ARS 587;
888;ARS 588;
889;ARS 589;
890;ARS 590;
891;ARS 591;
892;ARS 592;
893;ARS 593;
894;ARS 594;
895;ARS 595;
896;ARS 596;
897;ARS 597;
898;ARS 598;
899;ARS 599;
900;ARS 600;
901;61r;
902;56r;
903;Y11r;
904;Y7r;
905;4Br;
906;Y14r;
907;P30Br;
908;D3r;
909;P14Ar;
910;RAV2r;
911;B8r;
912;7Fr;
913;D1r;
914;109r;
915;P15r;
916;ARG2r;
917;13Fr;
918;B10r;
919;33Br;
920;35r;
921;26r;
922;17Fr;
923;59r;
924;Xr;
925;142r;
926;112r;
927;8r;
928;105r;
929;B2BAr;
930;B2Ar;
931;P2r;
932;Y3Ar;
933;110r;
934;RAO2r;
935;ME13r;
936;P18r;
937;P7Br;
938;RAO3r;
939;P16r;
940;9r;
941;ARS 273;
942;17r;
