ID_TARIF_MATIERE;ID_ASS_QUALITE_TARIF_TEXTURE;ID_MATIERE;TARIF_PUBLIC;TARIF_GRD_PROJET
437;125;4;300;450
438;125;6;0;0
439;125;7;0;0
440;125;8;0;0
441;125;9;0;0
442;125;10;0;0
443;125;11;0;0
444;126;4;250;270
445;126;6;280;310
446;126;7;320;340
447;126;8;200;220
448;126;9;230;250
449;126;10;260;270
450;126;11;450;550
451;127;4;0;0
452;127;6;0;0
453;127;7;0;0
454;127;8;0;0
455;127;9;0;0
456;127;10;0;0
457;127;11;0;0
458;128;4;500;400
459;128;6;1000;800
460;128;7;0;0
461;128;8;0;0
462;128;9;200;0
463;128;10;0;0
464;128;11;0;0
465;129;4;600;105
466;129;6;1000;250
467;129;7;0;0
468;129;8;270;280
469;129;9;300;430
470;129;10;190;230
471;129;11;500;560
472;130;4;230;250
473;130;6;310;330
474;130;7;0;0
475;130;8;140;170
476;130;9;180;200
477;130;10;145;175
478;130;11;400;450
479;131;4;80;140
480;131;6;90;120
481;131;7;230;255
482;131;8;130;150
483;131;9;170;180
484;131;10;165;175
485;131;11;180;210
486;132;4;1090;2021
487;132;6;0;0
488;132;7;0;0
489;132;8;;
490;132;9;0;0
491;132;10;0;0
492;132;11;0;0
493;133;4;900;600
494;133;6;1500;1200
495;133;7;0;0
496;133;8;0;0
497;133;9;0;0
498;133;10;0;0
499;133;11;0;0
500;134;4;0;0
501;134;6;0;0
502;134;7;0;0
503;134;8;0;0
504;134;9;0;0
505;134;10;0;0
506;134;11;0;0
507;135;4;200;250
508;135;6;300;250
509;135;7;210;200
510;135;8;230;270
511;135;9;215;325
512;135;10;275;300
513;135;11;400;525
514;136;4;0;0
515;136;6;0;0
516;136;7;0;0
517;136;8;0;0
518;136;9;0;0
519;136;10;0;0
520;136;11;0;0
521;137;4;0;0
522;137;6;0;0
523;137;7;0;0
524;137;8;0;0
525;137;9;0;0
526;137;10;0;0
527;137;11;0;0
528;138;4;0;0
529;138;6;0;0
530;138;7;0;0
531;138;8;0;0
532;138;9;0;0
533;138;10;0;0
534;138;11;0;0
535;139;4;0;0
536;139;6;0;0
537;139;7;0;0
538;139;8;0;0
539;139;9;0;0
540;139;10;0;0
541;139;11;0;0
542;140;4;0;0
543;140;6;0;0
544;140;7;0;0
545;140;8;0;0
546;140;9;0;0
547;140;10;0;0
548;140;11;0;0
549;141;4;0;0
550;141;6;0;0
551;141;7;0;0
552;141;8;0;0
553;141;9;0;0
554;141;10;0;0
555;141;11;0;0
556;142;4;0;0
557;142;6;;
558;142;7;0;0
559;142;8;0;0
560;142;9;0;0
561;142;10;0;0
562;142;11;0;0
563;143;4;0;0
564;143;6;0;0
565;143;7;0;0
566;143;8;0;0
567;143;9;0;0
568;143;10;0;0
569;143;11;0;0
570;144;4;0;0
571;144;6;0;0
572;144;7;0;0
573;144;8;0;0
574;144;9;0;0
575;144;10;0;0
576;144;11;0;0
577;145;4;0;0
578;145;6;0;0
579;145;7;0;0
580;145;8;0;0
581;145;9;0;0
582;145;10;0;0
583;145;11;0;0
584;146;4;0;0
585;146;6;0;0
586;146;7;0;0
587;146;8;0;0
588;146;9;0;0
589;146;10;0;0
590;146;11;0;0
591;147;4;0;0
592;147;6;0;0
593;147;7;0;0
594;147;8;0;0
595;147;9;0;0
596;147;10;0;0
597;147;11;0;0
598;148;4;0;0
599;148;6;0;0
600;148;7;0;0
601;148;8;0;0
602;148;9;0;0
603;148;10;0;0
604;148;11;0;0
605;149;4;0;0
606;149;6;0;0
607;149;7;0;0
608;149;8;0;0
609;149;9;0;0
610;149;10;0;0
611;149;11;0;0
612;150;4;0;0
613;150;6;0;0
614;150;7;0;0
615;150;8;0;0
616;150;9;0;0
617;150;10;0;0
618;150;11;0;0
619;151;4;0;0
620;151;6;0;0
621;151;7;0;0
622;151;8;0;0
623;151;9;0;0
624;151;10;0;0
625;151;11;0;0
626;152;4;0;0
627;152;6;0;0
628;152;7;0;0
629;152;8;0;0
630;152;9;0;0
631;152;10;0;0
632;152;11;0;0
633;153;4;1020;0
634;153;6;1650;0
635;153;7;0;0
636;153;8;0;0
637;153;9;0;0
638;153;10;0;0
639;153;11;0;0
640;154;4;0;0
641;154;6;0;0
642;154;7;0;0
643;154;8;0;0
644;154;9;0;0
645;154;10;0;0
646;154;11;0;0
647;155;4;0;0
648;155;6;0;0
649;155;7;0;0
650;155;8;0;0
651;155;9;0;0
652;155;10;0;0
653;155;11;0;0
654;107;4;330;495
655;107;6;0;0
656;107;7;0;0
657;107;8;0;0
658;107;9;0;0
659;107;10;0;0
660;107;11;0;0
661;108;4;0;0
662;108;6;0;0
663;108;7;0;0
664;108;8;0;0
665;108;9;0;0
666;108;10;0;0
667;108;11;0;0
668;109;4;0;0
669;109;6;0;0
670;109;7;0;0
671;109;8;0;0
672;109;9;0;0
673;109;10;0;0
674;109;11;0;0
675;110;4;0;0
676;110;6;0;0
677;110;7;0;0
678;110;8;0;0
679;110;9;0;0
680;110;10;0;0
681;110;11;0;0
682;111;4;0;0
683;111;6;0;0
684;111;7;0;0
685;111;8;0;0
686;111;9;0;0
687;111;10;0;0
688;111;11;0;0
689;112;4;0;0
690;112;6;0;0
691;112;7;0;0
692;112;8;0;0
693;112;9;0;0
694;112;10;0;0
695;112;11;0;0
696;113;4;0;0
697;113;6;0;0
698;113;7;0;0
699;113;8;0;0
700;113;9;0;0
701;113;10;0;0
702;113;11;0;0
703;114;4;0;0
704;114;6;0;0
705;114;7;0;0
706;114;8;0;0
707;114;9;0;0
708;114;10;0;0
709;114;11;0;0
710;115;4;0;0
711;115;6;0;0
712;115;7;0;0
713;115;8;0;0
714;115;9;0;0
715;115;10;0;0
716;115;11;0;0
717;116;4;0;0
718;116;6;0;0
719;116;7;0;0
720;116;8;0;0
721;116;9;0;0
722;116;10;0;0
723;116;11;0;0
724;117;4;220;275
725;117;6;330;275
726;117;7;231;220
727;117;8;253;297
728;117;9;236,5;357,5
729;117;10;302,5;330
730;117;11;440;577,5
731;118;4;0;0
732;118;6;0;0
733;118;7;0;0
734;118;8;0;0
735;118;9;0;0
736;118;10;0;0
737;118;11;0;0
738;119;4;0;0
739;119;6;0;0
740;119;7;0;0
741;119;8;0;0
742;119;9;0;0
743;119;10;0;0
744;119;11;0;0
745;120;4;0;0
746;120;6;0;0
747;120;7;0;0
748;120;8;0;0
749;120;9;0;0
750;120;10;0;0
751;120;11;0;0
752;121;4;0;0
753;121;6;0;0
754;121;7;0;0
755;121;8;0;0
756;121;9;0;0
757;121;10;0;0
758;121;11;0;0
759;122;4;0;0
760;122;6;0;0
761;122;7;0;0
762;122;8;0;0
763;122;9;0;0
764;122;10;0;0
765;122;11;0;0
766;123;4;0;0
767;123;6;0;0
768;123;7;0;0
769;123;8;0;0
770;123;9;0;0
771;123;10;0;0
772;123;11;0;0
773;124;4;0;0
774;124;6;0;0
775;124;7;0;0
776;124;8;0;0
777;124;9;0;0
778;124;10;0;0
779;124;11;0;0
780;156;4;0;0
781;156;6;0;0
782;156;7;0;0
783;156;8;0;0
784;156;9;0;0
785;156;10;0;0
786;156;11;0;0
787;157;4;0;0
788;157;6;0;0
789;157;7;0;0
790;157;8;0;0
791;157;9;0;0
792;157;10;0;0
793;157;11;0;0
794;158;4;0;0
795;158;6;0;0
796;158;7;0;0
797;158;8;0;0
798;158;9;0;0
799;158;10;0;0
800;158;11;0;0
801;159;4;0;0
802;159;6;0;0
803;159;7;0;0
804;159;8;0;0
805;159;9;0;0
806;159;10;0;0
807;159;11;0;0
808;160;4;0;0
809;160;6;0;0
810;160;7;0;0
811;160;8;0;0
812;160;9;0;0
813;160;10;0;0
814;160;11;0;0
815;161;4;0;0
816;161;6;0;0
817;161;7;0;0
818;161;8;0;0
819;161;9;0;0
820;161;10;0;0
821;161;11;0;0
822;162;4;0;0
823;162;6;0;0
824;162;7;0;0
825;162;8;0;0
826;162;9;0;0
827;162;10;0;0
828;162;11;0;0
829;163;4;0;0
830;163;6;0;0
831;163;7;0;0
832;163;8;0;0
833;163;9;0;0
834;163;10;0;0
835;163;11;0;0
836;164;4;0;0
837;164;6;0;0
838;164;7;0;0
839;164;8;0;0
840;164;9;0;0
841;164;10;0;0
842;164;11;0;0
843;165;4;0;0
844;165;6;0;0
845;165;7;0;0
846;165;8;0;0
847;165;9;0;0
848;165;10;0;0
849;165;11;0;0
850;166;4;0;0
851;166;6;0;0
852;166;7;0;0
853;166;8;0;0
854;166;9;0;0
855;166;10;0;0
856;166;11;0;0
857;167;4;0;0
858;167;6;0;0
859;167;7;0;0
860;167;8;0;0
861;167;9;0;0
862;167;10;0;0
863;167;11;0;0
864;168;4;0;0
865;168;6;0;0
866;168;7;0;0
867;168;8;0;0
868;168;9;0;0
869;168;10;0;0
870;168;11;0;0
